discussion,role
Учет выдачи призов на УСН ,1
Можно ли применить вычет на ребенка при выплате дивидендов? ,1
Товарный чек ,1
Декларация НДС при УСН ,1
ЗУП 3.1. Индексация среднего заработка по отпуску ,1
"Требование из ФСС, определение срока ответа ",1
Пособие по БиР и замена лет ,1
Оплата больничного в период отпуска с последующим увольнением ,1
"ООО на УСН 6%, платим зарплату, уменьшить налог можно? ",1
Страховые взносы на ВНиМ для иностранца на патенте ,1
Оформление УПД от ОФД ,1
APPCRASH после обновления ЗУП ,1
Декларация по прибыли при смене юрадреса ,1
Услуги на дому и ККТ ,1
Включаются ли начисления по ГПХ в РСВ если акт не подписан ,1
Сч/фактура при особом переходе права собственности ,1
Квартира в собственности ООО и коммунальные платеж ,1
ЕНВД розница у ИП-по уменьшению налога на сумму фиксированных взносов ,1
Можно ли принимать к вычету НДС по билетам в рамках организации пресс-тура? ,1
Освобождение от налогов? ,1
ИП патент и получение процентов по депозиту ,1
Оплата третьему лицу в долг ,1
Корректировка РСВ - сведения по разделу 3 ,1
1с ЗУП 3.1 Как обновить список оснований для досрочной пенсии ,1
Проверка моих контрагентов ,1
Задваивается сотрудник после индексации окладов ,1
"Аванс совпал с отпуском, когда перечислять НДФЛ ",1
Новые поправки в НК НДФЛ списание безнадежного долга ,1
Отпускные и зарплпта ,1
Камералка из МИФНС без периода проверки ,1
"Транспортные без НДС, как выгодней взять к учету ",1
Налоги и зп попадают во временную разницу 1с 8.3 ,1
Счет-фактура на переплату ,1
Оформление сан.книжки и расходы УСН ,1
Ккт и взаимозачет ,1
ЭДО на практике ,1
УСН 15% стоимость товаров и НДС отдельной строкой ,1
Договор ТЭО с экспедитором-нерезидентом ,1
Авансовые платежи по налогу на прибыль. Выручка превысила 60 млн.рублей ,1
Аутсорсинг со сдельной системой оплаты ,1
Обязательный аудит ,1
Учет задач по ндс ,1
Возврат денежных средств и НДС ,1
Оплата физ.лицом за ООО ,1
ФНС мухлюет со страховыми взносами ,1
Авансовые отчеты от подотчетника ,1
Премия за счет 84 счета ,1
Первичные документы по мобильной связи при оплате за 12 месяцев ,1
Аренда помещения у ИП и ремонт помещения УСН Д-Р ,1
ГИТ требует доказательств о времени создания рабочих мест ,1
Расчет больничного в отпуске при увольнении ,1
Переход с ежемесячных авансовых платежей по прибыли на квартальные в середине года ,1
ККТ при предоставлении премии покупателю ,1
"Может ли генеральный директор расходовать подотчетные суммы на закупку стройматериалов на рынке, если счета-фактуры не оформляются? ",1
"излишне выплаченное пособие до 1,5 лет ",1
"Договор аренды с физ.лицом, НДФЛ и расходы УСН ",1
Применение ккт при поступлении обеспечительного платежа ,1
"Уточненки по НДС и прибыли из-за увеличения цены, при отмене реализации ",1
Проводки по эквайрингу ,1
Таргетированная реклама и УСН Д-Р ,1
Разработка логотипа и фирменного стила расходы УСН ,1
Аудиторское заключение 2018 ,1
Чеки от онлайн кассы надо хранить?и сколько по времени? ,1
Продолжение листа нетрудоспособности по БиР ,1
Имущественный вычет при покупке квартиры в 2015 году ,1
Перевыставление командировочных расходов ,1
"Поступления на р/сч иностр.представительства по контрактам, заключенным головной организацией - налоги будут? ",1
Оплата за другую фирму ,1
Налоговый вычет при лечении зубов ,1
Ликвидация ООО ,1
Пояснения к бухгалтерскому балансу затраты на производство ,1
Нужно ли создавать обособленное подразделение при установке бытовки для водителей ,1
Отпуск по БиР и исключаемые периоды ,1
Пояснение к требованию ,1
Применение ККТ ,1
Отчетность после проверки 2016г. ФСС и ПФ ,1
"Подтверждающие документы к акту на оказание услуг ""Яндекс такси"" ",1
Дата акта выполненных услуг ,1
Займ учредителя.Возврат ,1
Сотрудница-совместитель и пособие по БиР ,1
Уменьшение енвд ,1
Покупка квартиры на ООО в ипотеку ,1
Размещение оборудования в Дата центре расходы УСН ,1
Амортизация на УСН ,1
Госпошлина за выдачу приглашения на въезд УСН доходы минус расходы ,1
Одновременная оплата картой (эквайринг) и наличными ,1
Не сдали декларации по УСН за прошлые года усн Упрощенная система управления ,1
1с 8.3 БП: Розница - оплата по безналу (не картой) ,1
НДС как налоговый агент ,1
Отпуск с последующим увольнением (отработка) ,1
Сумма прописью в ведомости ,1
Требование ИФНС по РСВ ,1
Продажа еврооблигаций и переоценка ,1
Уменьшение налога на страховые взносы ,1
Возврат госпошлины ,1
Корректировка декларации по НДС и реестр таможенных деклараций ,1
Курсовая..или некурсовая разница ,1
"Как в 1 С 8.3 отразить фиксированный взнос ИП в расходах при УСН доходы минус расходы, зачтенный ИФНС с другого КБК? ",1
В Кудир отражается реализация в минусом ,1
Требование налоговой о представлении документов (информации) ,1
Как правильно заполнить КМ-6 ,1
"Статистика П-4, совместитель в отпуске ",1
По обязательным взносам в пенс фонд ИП на УСН15% ,1
Субаренда и госконтракты ,1
"Старый штраф по НДС на нулевой компании с УСН. Что будет, если не платить? ",1
Совмещение режимов УСН+ЕНВД и раздельный учет выручки в 1С ,1
Размер госпошлины за Устав ,1
Нарушение кассовой дисциплины не по нашей вине ,1
Оплата больничного листа в бюджете ,1
СЗВ-СТАЖ ошибка в программе ДОКУМЕНТЫ ПУ6 ,1
УСН Доходы- как избежать включение в доходы коммунальных платежей ,1
Освобождение от НДС и УСН ,1
Заполнение раздела 3.2 РСВ на нового сотрудника ,1
Применение ККМ с 01.07.2019 г ,1
Как списать Дт задолженность учредителя организации при ее ликвидации ,1
"Перевести директора на 0,05 ставки ",1
Демонтаж и монтаж кондиционера УСН Д-Р ,1
Последствия признания представительства иностранной организации постоянным ,1
"Субкомиссия. учет в БП 8,3 ",1
Один ПКО для нескольких БСО ,1
Занизили вычет НДС в декларации ,1
Как принять образцы к учету ,1
ИП патенты.Выручка ,1
"Закрытие месяца, перенос убытков прошлого года ",1
Сколько могут стоить услуги буха для ООО и ИП? ,1
Есть ли необходимость наделять ОП полномочиями ,1
Торг-12 по обособке ,1
Вероятность штрафа за невыплату компенсации ,1
Спутниковая охранная система по автомобилю в лизинге УСН Д-Р ,1
Возврат у Продавца проводки ,1
"Оформление ПУД по ОС, если монтаж включен в стоимость  ",1
Фитнес услуги и онлайн касса ,1
Корректировка реализации (от корректировки) ,1
Кудир при оплате через Яндекс.кассу усн Упрощенная система управления ,1
СЗВ-М отменяющая ,1
Онлайн-касса ,1
"Оценочные зоны для ЕНВД, ЕКатеринбург ",1
Как быть с ккт если учреждения образования находятся на обслуживании в централизованной бухгалтерии? ,1
Консультационные услуги по лизинговым вопросам УСН Д-Р ,1
Присоединение ООО к ООО уставный капитал ,1
Реализация макулатуры организации на УСН через ЕС ,1
Ежегодный отпуск во время отпуска по уходу за ребенком ,1
Оплата по справке по состоянию расчетов ,1
"Посоветуйте насчет доработок 1С, которые упрощают работу с Консультантом плюс и упрощают общение с другими бухгалтерами? ",1
Кассовый чек двухмесячной давности в расход ,1
ООО хочет продать машину физич.лицу применение ККМ ,1
Доставка товара поставщиком ,1
Вопросы по чеку ,1
Списание рекламных материалов/помогите составить проводки ,1
СЗВ М - все те же грабли - единственный дир/учредитель ,1
Ремонтные работы физиком для ООО ,1
Кассовые чеки с QR кодом для закрытия подотчётных сумм ,1
Наименование в чеке ,1
"ИП с ""дохода"" на ""Доход-расход"" ",1
Договор займа с директором - есть проблема ,1
Открыта вакансия помощник бухгалтера ,1
ТСН покупка дороги ,1
ЭДО с налоговой ,1
Проверка ИФНС ,1
ИП и путевка в ДОЛ ,1
Налоговый вычет НДФЛ при закупке у частника .Минимальная необлагаемая сумма есть? ,1
Строительная организация и обособленные подразделения ,1
Обязателен ли табель за первую половину месяца или достаточно общего ,1
"6-НДФЛ, обособленное подразделение и нет сотрудников ",1
"ИП без наемных оказывает услугу грузоперевозки другому ИП за наличку, что с ККМ? ",1
3 НДФЛ (совместная собственность) ,1
"Курсовые разницы! у покупателя услуг (счет от поставщика в Евро, оплата в рублях) ",1
Онлайн касса ,1
УСН и ОСНО дебеторка при смене режима ,1
Беспроцентный заём ООО ,1
"Тест по курсовым разницам, помогите решить ",1
"Отпускные начислены в марте, отпуск в апреле - как быть со страховыми взносами? ",1
Пособие по БиР и расчетный период ,1
Подряд у физ лица с его материалами ,1
Повторное оформление сотрудника ,1
Кэп для ЕГАИСа ,1
Годовая декларация по прибыли сдана с ошибкой ,1
Как отразить цессионарию получение неустойки от должника ,1
"Потрясающий косяк от ИФНС! Потеряли, что мы у них упрощенцы, и считают, что нам должны триллиарды усн Упрощенная система управления ",1
"НКО закрытие счета20,26 ",1
Бумажная квитанция в дополнение к чеку из онлайн-кассы ,1
Ошибка в коде вида деятельности в заявлении о постановке на учет по форме ЕНВД-1 ,1
Оригинал счета на оплату по договору или отсканируемый счет ,1
3-НДФЛ Проценты по ипотеке. Декларация за 2018 год ,1
22 ЖКХ жилище ,1
"Акт ОС-1 про продаже ОС, выкупленного из лизинга ",1
Справка по оплате мед услуг для соц вычета по ндфл ,1
КВО в книге покупок при корректировке реализации ,1
Займ в кассу и кассовый чек ,1
ККТ при разовой сделке ,1
"Товар купили в 18 году, а о том что был возврат бухгалтерия узнала после закрытия года ",1
3ндфл распределение имущественного вычета между супругами ,1
ККТ при приеме платы за ЖКУ наличкой ,1
Кто должен выписывать ТТН ,1
1с новая платформа изменить главное меню ,1
"ФСС, ИП встал на учет не своевременно - как возместить БиР ",1
"Аванс зачтен в Штраф, как быть с НДС ",1
Налоговые проверки по цепочке ,1
Какую сдать декларацию по налогу на прибыль при ликвидации фирмы? ,1
Дистанционная работа ,1
Чек на аванс с юрлицами с 01.07.2019 ,1
ОСНО: что сдают организации за 1 полугодие (2 квартал) 2019 год ,1
Енвд развозная торговля углем ,1
Снятие с ЕНВД и постановка на ЕНВД ,1
Импортный НДС ,1
УСН 1С 8.3 услуги по аренде от физ.лица ,1
НД по доходам полученным российской организацией за пределами РФ ,1
Амортизация основных средств (бюджетный учет) ,1
Отказ в возмещение пособия по БиР ,1
Командировка директора: служебная записка или служебное задание? ,1
1с не находит остатков по налоговому учету ,1
Выбил не тот чек ,1
Можно ли учредителю Некоммерческой организации оплатить на его ИП? ,1
6 НДФЛ и дивиденды ,1
Не облагаемые выплаты ,1
6-НДФЛ и аренда физ лица ,1
Декларация по прибыли - расчет ,1
Смена юр.адреса и 6-НДФЛ ,1
Заполнение строки 080 Приложения 2 расчета по страховым взносам ,1
"Первый онлайн-курс от «Клерка»: ""Налоговые проверки. Тактика защиты"" ",1
"ИП налогообложение от доходов 6%, хочет временно приостановить деятельность усн Упрощенная система управления ",1
О датах в документах  поставщиков на оплату  ,1
Разовое начисление за наставничество ,1
ИП сдает в аренду нежилое помещение другому ИП ,1
Строка 301 Приложения №2 в Декларации по налогу на прибыль за 1 полугодие 2019г ,1
Как правильно заполнить заявление ЕНВД-4 ,1
Свод начислений по коду дохода ,1
Оформление претензии и компенсации юридических услуг ,1
Продажа ОС с убытком. Декларация по прибыли ,1
Возмещение утилизационного сбора ,1
Сотрудник получил инвалидность ,1
6-НДФЛ не удержаны суммы ,1
Анализ учета по УСН в 1С 8.3 ,1
1 января 2019г. компания перешла с УСН на ОСН- авансы по налогу на прибыль ,1
Распределение в 1с страховых взносов при совмещении УСН и патента ,1
Расчет по страховым взносам пособия ,1
6-ндфл отражение премий ,1
Налог на прибыль за 1 полугодие ,1
Чек.Налог на прибыль ,1
Доработка материалов ,1
Отчетность за реорганизованное в рамках присоединения юр. лицо ,1
Заполнение РСВ ИП на патенте в 2019 году ,1
Карточка 51 счета в разрезе контрагентов ,1
Сроки проверки ,1
Как оформить поступление товара минуя наш склад? ,1
Перечисление авансового платежа по налогу на прибыль ,1
"Уплата авансового платежа УСН за ИП позже сроком, штраф? усн Упрощенная система управления ",1
НДС к уплате или может быть зачет ,1
Аренда авто у физ лица ,1
О субсидиях промышленным предприятиям на производство пилотных партий средств производства ,1
Если плательщик один а грузополучатель другой ,1
Транспортные накладные ,1
Пришло требование по налогу на имущество за 2018 ,1
Арендодатель на ОСНО. Возмещение коммунальных услуг. НДС ,1
Учет в СНТ ,1
Переводы физическим лицам на карты и электронные кошельки ,1
Возврат переплаты по налогу на прибыль ,1
Онлайн-касса в интернет-магазине ,1
Возврат денег усн Упрощенная система управления ,1
Как завести в программу Инфо-предприятие исходные остатки по долгу бюджета предприятию? ,1
УСН за 2018год -неверный ОКАТО усн Упрощенная система управления ,1
"Покупатель не принял товар, НДС ",1
Как отразить переплату в отчете 4-ФСС ,1
Перерасчет заработной платы ,1
Компенсация за использование авто ,1
Пособие по БиР и выплата зарплаты за июЛь ,1
Корректировка бухгалтерской отчетности ,1
Убыток за полугодие во вновь созданной компании ,1
Транспортный налог физическим лицам на мотоцикл ,1
Сопровождение программы при УСН доходы-расходы ,1
Смена налоговой и приостановление по счетам ,1
корректировочный счета-фактура на уменьшение и налог на прибыль ,1
"Транспортный налог на автомобиль, купленный в 2019 году на ООО (УСН 15%) ",1
Не списываются партии УТ 10.3 ,1
Ошибка в фискальном регистраторе ,1
Не верно пробит чек. Что делать? ,1
Не списаны РБП в 1 и 2 квартале. Возможно ли их списать 3 и 4 кварталом? ,1
Пособие по беременности и родам ,1
Возврат товара после 01 апреля ,1
Поступление на р/с от физлиц ,1
"Как заполнять РСВ, если генеральным директором, он же единственный учредитель не получает з/п ",1
Отражениие в РСВ пособия по врменной не трудоспособности умершего работника ,1
Жалоба на ИФНС №51 по Москве ,1
УСН при целевом финансировании усн Упрощенная система управления ,1
Компенсация ремонта дома у ТСН ,1
"Замена гарантийной запчасти, оприходование ""старой"" запчасти ",1
Изменение организационно-правовой формы ,1
НДС и прибыль у Цессионария ,1
Корректировка 6-НДФЛ и РСВ ,1
Налог ,1
Ведение НКО и касса ,1
Заявление о постановке на ЕНВД с опозданием ,1
Ведение бухгалтерского и налогового учета в гаражном кооперативе (ГК) ,1
Строка 070 в ЗУП ,1
Лизинг переуступка ,1
6-НДФЛ после проверки трудовой инспекцией ,1
Онлайн-ККТ. Услуги по аренде ,1
Снять кассу с учета в ИФНС ,1
Директор - сам себе водитель - подводные камни ,1
Как пробивать кассовый чек на доплату? ,1
Распечатка бумажного чека на принтере ,1
ЧЕК КОРРЕКЦИИ-неправильная сумма ,1
П-6 заполнение ,1
Требование из ИФНС за 3 года ,1
Больничный первый раз ,1
НКО закрытие счета 26 ,1
Ставка ввозного НДС на тыквенную семечку ,1
Отчёт рсв и 4фсс ,1
Работа программы 1С дробные номера РКО ,1
6-НДФЛ и выплата компенсации за неисп.отпуск+зарплата ,1
Вебинар по изменениям с 01.07.19 в онлайн-кассах ,1
"Желаю научиться кодить на 1С, чтобы заиметь хорошие связи с начальством одной конторы 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
ИП без ККТ :( ,1
Приложения к товарному отчету (ТОРГ-29) и журналу операций №7 в бюджете ,1
Функции ЭЦП ,1
Заполнение КУДиР при совмещении УСН (6%) и ЕНВД ,1
Где указывается районный коэффициент в кадровых документах? ,1
Договор аренды жилого помещения с физ лицом на 36 месяцев - расходы УСН ,1
"Договор аренды с физ.лицом удержание НДФЛ ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Порядок действий при закрытии ИП (патент выдан до конца года) ,1
В КУДИР попадают не выплаченные страховые взносы ,1
"Ндфл исчислен неверно, ошибка обнаружена в июле ",1
Декларация по НДС при освобождении по ст.145 ,1
Оплата с ООО на личную карту ИП . Как отразить? ,1
"Патент для ИП, розница.+ куда ставить ККМ на учет? ",1
Пропорциональное начисление и непропорциональная выплата дивидендов ,1
"Командировочные (проезд, суточные, гостиница) ЗУП 3,1 ",1
Чеки за услуги такси ,1
Контрольное соотношение показателей 6-НДФЛ и РСВ 2 кв. 2019г ,1
Ндс налоговый агент ,1
ИНН предприятия ИП в чеке ,1
Что такое мотивированное пояснение по поступлениям на расчетный счет ,1
Является ли товарно транспортная накладная обязательным бухгалтерским документом? ,1
Определение ОКОФ для автомобиля LEXUS RX350 ,1
Учет ОС на счету 01.4 или на забалансовом 013? ,1
Запрос ИФНС о цели создания новой фирмы ,1
СЗВМ на учредителя компании ,1
"Ставка НДС в 1С 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Авансовый платеж по НДФЛ по ошибке зачли не тому иностранцу ,1
РСВ раздел 1 приложение1 ,1
Работа ревизора ,1
Пособие 50 рублей ,1
Переуступка долга за материалы усн Упрощенная система управления ,1
Ошибка в учете лизингового транспорта ,1
Вычет НДФЛ на ребенка-инвалида ,1
ККТ и пассажирские перевозки ,1
Не правильная ставка НДС в декларации ,1
СЗВ-М не принята по ТКС ,1
Пособие при постановке в ранние сроки беременности ,1
Как учитывать созданную программу и продажу неисклправ на нее? ,1
Ошибка в назначении платежа ,1
Курсовые разницы при авансах ,1
Электронный документооборот сохранение в архив ,1
1С 8.3 выставляет сч фактуры на аванс ,1
Регистрация наемного труда ИП ,1
Отчет по налогу на имущество. Авансовый расчет ,1
Граждане Украины -Патент в штате фирмы ,1
Куда девать входящий НДС при ЕСХН? ,1
Новые реквизиты чека ККТ ,1
4-ФСС за 1 полугодие 2019 г ,1
"Занижение суммы НДС, подлежащей уплате в бюджет (аренда) ",1
Часть выполненных работ заказчик не принимает. По суду он выиграл ,1
Как ФНС заставить отреагировать на письма и заявления ,1
ИП платил ЕВНД в Москву. Что делать? ,1
Вызов для дачи пояснений ,1
Торговля через таможенный склад (ИМ70) ,1
6 ндфл и 2ндфл ,1
"ЕНВД, УСН: Подпадает ли под ЕНВД организация услуг питания сотрудников предприятия ",1
Двойное наказание со стороны ПФР за опоздание со сдачей СЗВ СТАЖ ,1
"Уменьшилась стоимость договора, нужно ли уменьшать стоимость основного средства? ",1
"Чек, если физ лицо со своего счета (не эквайринг)) переводит средства на счет ООО за услуги? ",1
"Экспортный НДС, электронные реестры ",1
1С не принимает в расходы 1% в ПФР за 2018г ,1
Сотрудница поменяла фамилию - какие документы она должна нам предоставить? ,1
Решение о взыскании пени и штрафов имуществом ООО. Куда/кому платить? ,1
Снятие с ЕНВД! Срочно! ,1
Имущественный вычет по НДФЛ ,1
Пособие по БиР нет справки за 2 предшествующих года ,1
Уменьшение стоимости выполненных работ по суду. Нужно ли восстановить НДС? ,1
"Как заполнить расчет 6-НДФЛ, если работник находится на больничном? ",1
Как проводить услуги ремонта с запчастями ,1
Коммунальные платежи по жилой недвижимости для перепродажи ,1
Куда гаишники сообщают о дтп ,1
Пробиты чеки с неправильной датой. как исправить? ,1
НДФЛ с дивидендов бух.учет ,1
Неиспользованные БСО ,1
Частичный возврат и дозаказ ,1
Скриншоты в качестве оправдательных документов ,1
Онлайн-касса или БСО ,1
"Производители пива, ау ",1
Оборот алкогольной продукции и Поставка алкогольной продукции ,1
Изменение ставок торгового сбора в 1С ,1
Что выгоднее заработная плата или дивиденды? ,1
Два штрафа на один отчет ,1
Торговля со склада и торговый сбор (Москва) ,1
Бухгалтерия 3.0 - в документе нужен подбор товаров только с одного из нескольких складов - как? ,1
Поменять уведомление по УСН с доходов на доходы минус расходы ,1
Продажа авто юр лицом физ. лицу? ,1
"Проверьте, пожалуйста, расчет отпускных ",1
"Чек  с признаком расчета ""передача товара в кредит""  ",1
Как определить количество работающих при оформлении патента? ,1
"Возврат ндфл иностранцу ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Как прописать в учетной политике ведение документооборота по учету МПЗ и ОС усн Упрощенная система управления ,1
1C ERP 2.4 не начисляется сдельная оплата труда ,1
"Организации на УСН, ЕНВД: что сдаем за 1 полугодие (2 квартал) 2019 года ",1
Автообновление рег.отчетов ,1
Продажа товара нерезиденту на территории порта ,1
6-ндфл ,1
6-НДФЛ корректировка по требованию за 1 квартал 2019 ст.88 НК РФ ,1
Требование без адресата ,1
"Организации на УСН, ЕНВД: что сдаем за 1 квартал 2019 года ",1
В Декрации по НДС неверно указала ОКТМО ,1
Уведомление о выплате зарплаты ВКС за 1 кв.2019 в МФЦ (прошивка отчета и доверенность) ,1
Расчет среднего при увольнении ,1
Закрыл ИП на ЕНВД ,1
Упрощенная налоговая декларация ,1
"ИФНС взыскала недоимки, которых нет ",1
Как узнать с какого счета прошла оплата от ИП и нужно ли применение онлайн кассы? ,1
Сдача в аренду от ИП или физлица ,1
"Как и когда удержать НДФЛ с выплаты и как расписать в 6 НДФЛ? ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Подача уточненных деклараций по налогу на прибыль ,1
Требование по встречной проверке ,1
Нужна помощь в разрешении ситуации ,1
ККТ в ТСЖ/ЖСК ,1
Подсчет операций пр ведении бухгалтерского учета на аутсорте ,1
Налоговая списывает уже уплаченные ранее налоги! ,1
Кассир и передача данных ОФД ,1
ПРИСТАВЫ и ИФНС списание с р/с по требованиям и по постановлениям о взыскании одних и тех же налогов ,1
НДС без сч.ф ,1
"Отсрочка онлайн-касс по №682709-7, вычет по ЕНВД и куда девать кассу ",1
Начисленный аванс больше суммы за месяц ,1
Налоговые вычеты на детей ,1
Онлайн-ККТ услуги аренда домов физлицам ,1
Вернуть переплату по налогам после 3 лет ,1
"Покупка квартиры, налог на имущество ",1
Как удалить расход со счета в 1С.Предприятие 8.3 ,1
Налоги при возврате займа имуществом ,1
Московский аэроэкспресс ,1
Онлайн кассы ,1
Декларация по НДС на УСН при аренде земельного участка усн Упрощенная система управления ,1
"Авансовый расчет по налогу на имущество, а не надо был ",1
ККТ при расчетах с физлицом на расчетный счет в образовательной организации ,1
"Срок уплаты НДФЛ ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
"Разместили вакансию на Зарплата.ру, как принять расходы? ",1
Как учесть отгул за отработанный выходной день в командировке? ,1
"Как отразить в декларации пиво, купленное для корпоратива? ",1
Дата включения в расходы по УСН ,1
Совмещение УСН и ОСН.....возможно ли это?! ,1
"Списали с р\с взносы на ФОМС, которые мы не уплачиваем ",1
ИП на УСН без работников отчетные документы командированным ,1
Восстановление учета ,1
Печатная форма недоступна 1с Бухгалтерия 3.0 ,1
Выплата дивидендов. 84 сч ,1
УПД за услуги на год вперед ,1
Агентский договор или нет ,1
Запрос документов в рамках выездной проверки ,1
Нулевая 4-ФСС и Требование от ФСС ,1
Вопрос по регистрации ККТ. Вид деятельности - оказание услуг ,1
Распределение затрат в молочном скотоводстве ,1
Новичок в применении ККТ ,1
Получение патента ,1
Новые реквизиты чека ККМ ,1
Может ли бытьрасхождение между суммой по книге доходов и расходов и книгой продаж? ,1
ККМ для ИП на ПСН услуги по физической культуре и спорту ,1
Переплата по НДФЛ ,1
Применение образовательной организацией ККТ с 01.07.2019 ,1
Декларация по прибыли ,1
Контур - нужны отзывы ,1
Код причины перерегистрация ККТ ,1
"Онлайн кассы, ККТ, помогите ",1
Кассовый аппарат при безнальных оплатах интернет магазина ,1
Ремонт сельхозтехники какая ставка НДС? ,1
"Обязательно ли ИП на ЕНВД (автосервис) перепрошивать ККТ, если расчеты производятся только наличными средствами? ",1
УСН 15% Взаимозачёт ,1
Касса при эквайринге ,1
УСН уплата ,1
ККТ онлайн при оказании услуг ,1
Беспроцентный заЁм сотруднику организации НЮАНСЫ ,1
Скидка за брак от поставщика ,1
"Онлайн-касса в интернет магазине, УТ 11 ",1
Какие документы в ФСС нужно предоставить для возмещения и зачёта пособий? ,1
1с Бухгалтерия 3.0 и кнопка чека в поступлении наличных ,1
Торговый сбор - дата начала деятельности ,1
Сертификат о резидентстве Австралии ,1
Электронная сдача отчётности без фото в полный рост существует? ,1
Отказ в получении кассового чека ,1
Билеты на московский наземный транспорт (без чека) ,1
ЖД накладная - ее дата ,1
Аванс за май 2019 ,1
Подтверждающие документы на авиаперелет ,1
Арендодатель в договоре аренды транспортного средства (ТС) не является собственником ТС (налоги) ,1
Организация на УСН Д-Р судебные расходы ,1
Увольнение беременной в связи с выходом основного работника ,1
Декретный. Доходы для расчета. Есть ошибки в начислениях ,1
Зачёт авансов по налогу на прибыль без заявления ,1
Не удержали и не перечислили НДФЛ ,1
Начисление суточных за командировку ,1
Заполнение авансового отчета ,1
ЛесЕгаис покупка бруска ,1
Штрих кодирование документов ,1
Имущество передаваемое в хозяйственное ведение ,1
Налог на имущество при УСН ,1
Заявление на возврат налога НДС ,1
Покупка квартиры юр. лицом / бухгалтерские и налоговый нюансы ,1
Платежи по импорту ,1
Учет расходов на добровольное страхование ,1
"Выплата З\П после увольнения, проблемы с выплатой ",1
Исправление ошибок при регистрации/фискализации ,1
Европа - Чехия - Прага - транзит ,1
Электронный больничный ,1
Право подписи за генерального директора ,1
"Как расчитать Пенсионные отчисления за себя, 1% от дохода ",1
ККТ при оплате физлицом на расчетный счет предприятия ,1
